days away,car class,Alamo,Avis,Budget,Enterprise
53,Economy Car,449,475,449,430
53,Compact Car,451,444Includes Cash Card,417,430
53,Intermediate Car,370.89,442Includes Cash Card,417,371
53,Standard Car,392,444Includes Cash Card,420,415
53,Fullsize Car,392,444Includes Cash Card,420,415
53,Premium Car,503,539Includes Cash Card,508,495
53,Intermediate SUV,471,728Includes Cash Card,458,473
53,Standard SUV,471,765Includes Cash Card,612,472
53,Fullsize Crossover,721,NA,NA,703
53,Premium Crossover,NA,NA,NA,769
53,Mini Van,NA,631Includes Cash Card,594,NA
53,Fullsize SUV,817,971Includes Cash Card,822,769
53,Intermediate Convertible,698,NA,NA,NA
53,Standard Convertible,698,753Includes Cash Card,711,683
53,Standard Specialty,451,NA,NA,477
53,Luxury Car,NA,647Includes Cash Card,610,NA
53,Premium SUV,1066,1469Includes Cash Card,1071,1003
53,Luxury SUV,1333,NA,NA,1250
53,Fullsize Van,NA,874Includes Cash Card,826,NA
